competitor_id,company_name,industry,estimated_revenue,employee_count,market_share,growth_rate,funding_stage,competitive_advantage
COMP000057,"Hess, Christensen and Perez",AI/ML,26922146.03,249,8.78,76.08,Series A,Cost
COMP000058,"Rivera, Allen and Ryan",E-commerce,9695147.15,4158,12.18,-6.82,Seed,Market Position
COMP000059,"Mcneil, Solis and Horton",AI/ML,12978618.27,3323,13.2,76.16,Growth,Market Position
COMP000060,Franklin Group,CleanTech,16891715.92,2379,1.29,33.61,Series A,Network Effect
COMP000061,"Morris, Ramos and Smith",AI/ML,11522215.58,449,0.63,92.51,Series B,Market Position
COMP000062,Jones-Lee,EdTech,6008872.78,1256,4.76,95.96,Series B,Brand
COMP000063,"Braun, Mays and Martinez",FoodTech,34728086.53,3892,5.0,4.78,Series A,Network Effect
COMP000064,Watkins and Sons,HealthTech,19568161.34,859,1.65,20.9,Pre-Seed,Technology
COMP000065,Romero Group,AI/ML,45544874.36,4133,12.32,17.63,Series C,Brand
COMP000066,"Mcdonald, Martin and Gonzalez",FinTech,405352.41,4407,0.72,42.2,Series C,Brand
COMP000067,Thompson-Wright,FoodTech,35577255.93,4587,2.35,86.21,Seed,Network Effect
COMP000068,Ray-Faulkner,AI/ML,22260008.13,121,14.0,20.05,Seed,Brand
COMP000069,Nelson Group,SaaS,42651815.52,3491,1.6,70.35,Seed,Technology
COMP000070,Tapia LLC,E-commerce,26485218.21,1884,11.16,87.29,Series A,Market Position
COMP000071,Gray-Ruiz,CleanTech,17351389.62,4832,11.08,85.3,Series C,Technology
COMP000072,Wagner-Moss,FoodTech,27749970.81,1392,5.84,19.12,Series C,Market Position
COMP000073,Weiss Group,SaaS,6483043.43,4576,10.57,15.58,Series A,Cost
COMP000074,Gill Group,AI/ML,39866103.87,2208,1.18,64.34,Series B,Cost
COMP000075,Blake LLC,SaaS,32675780.52,2346,9.96,27.24,Seed,Market Position
COMP000076,"Medina, Tran and Thompson",HealthTech,5659042.64,1595,2.74,68.42,Series B,Cost
COMP000077,Ford-Chavez,FoodTech,34140387.63,705,7.04,89.13,Series B,Market Position
COMP000078,Hart-Castillo,E-commerce,33258452.61,1372,7.59,-6.62,Series C,Network Effect
COMP000079,Taylor-Harrison,CleanTech,34285641.48,606,13.52,28.9,Pre-Seed,Network Effect
COMP000080,Hendricks Inc,FinTech,40079686.36,561,9.3,32.57,Seed,Technology
COMP000081,Hensley Ltd,SaaS,16514670.47,1602,0.98,56.98,Seed,Cost
COMP000082,"Brooks, Sullivan and Perry",EdTech,13411590.01,1889,5.3,15.25,Series A,Technology
COMP000083,Waller-Brooks,FinTech,42906139.83,860,7.96,68.67,Series B,Brand
COMP000084,Parker-Archer,FoodTech,25307308.45,4222,13.62,82.68,Series A,Market Position
COMP000085,Ortiz Inc,SaaS,12779719.96,2954,4.29,37.02,Series C,Market Position
COMP000086,Cruz PLC,AI/ML,34452857.98,3902,9.24,13.92,Growth,Network Effect
COMP000087,Lee Group,HealthTech,876922.78,2635,3.99,55.53,Seed,Network Effect
COMP000088,Wise-Walton,FoodTech,48021214.94,4208,10.09,86.15,Growth,Brand
COMP000089,Hicks-Burns,CleanTech,49409782.38,4332,7.96,7.05,Growth,Network Effect
COMP000090,"Richardson, Brown and Cruz",FinTech,15373145.06,2586,7.48,67.34,Series B,Technology
COMP000091,Fitzgerald-Allen,SaaS,42003309.13,1136,4.18,15.58,Pre-Seed,Network Effect
COMP000092,Dorsey LLC,CleanTech,35552582.77,1443,4.38,89.5,Series C,Market Position
COMP000093,"Mann, Johnson and Wade",FoodTech,8220428.37,1938,3.95,77.16,Seed,Technology
COMP000094,Green Group,FoodTech,1601169.76,1297,14.18,52.32,Seed,Network Effect
COMP000095,"Hernandez, Wright and Lane",FinTech,35613365.11,4573,13.9,8.46,Pre-Seed,Technology
COMP000096,"Skinner, Smith and Wise",HealthTech,843651.29,1894,3.05,-9.77,Pre-Seed,Network Effect
COMP000097,"Dawson, Cruz and Mccarthy",CleanTech,23119325.62,3118,2.16,90.1,Series C,Network Effect
COMP000098,Stone and Sons,FoodTech,35771811.18,1006,0.66,-0.8,Series A,Market Position
COMP000099,Martin-Simmons,AI/ML,19247423.22,771,4.69,90.9,Seed,Network Effect
